"filename", "language", "Log", "TypeScript", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\App.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 5, 79
"c:\Users\jingc\Documents\8番出口\src\components\FinalResultScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 88, 0, 18, 106
"c:\Users\jingc\Documents\8番出口\src\components\FinalResultScreen.tsx", "TypeScript JSX", 0, 0, 0, 267, 0, 30, 297
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 60, 0, 16, 76
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 0, 0, 332, 0, 34, 366
"c:\Users\jingc\Documents\8番出口\src\components\ResultScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 2, 23
"c:\Users\jingc\Documents\8番出口\src\components\ResultScreen.tsx", "TypeScript JSX", 0, 0, 0, -111, 0, -12, -123
"c:\Users\jingc\Documents\8番出口\src\components\ResultStandingsPanel.test.tsx", "TypeScript JSX", 0, 0, 0, 83, 0, 13, 96
"c:\Users\jingc\Documents\8番出口\src\components\ResultStandingsPanel.tsx", "TypeScript JSX", 0, 0, 0, 195, 0, 17, 212
"c:\Users\jingc\Documents\8番出口\src\components\RoomListScreen.tsx", "TypeScript JSX", 0, 0, 0, 50, 0, 5, 55
"c:\Users\jingc\Documents\8番出口\src\components\RoomSelectScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 11, 48
"c:\Users\jingc\Documents\8番出口\src\components\RoomSelectScreen.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 4, 34
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 151, 0, 36, 187
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 13, 114
"c:\Users\jingc\Documents\8番出口\src\game\cpu.ts", "TypeScript", 0, 16, 0, 0, 0, 2, 18
"c:\Users\jingc\Documents\8番出口\src\game\cpuModel.test.ts", "TypeScript", 0, 84, 0, 0, 0, 11, 95
"c:\Users\jingc\Documents\8番出口\src\game\cpuModelRegistry.ts", "TypeScript", 0, 12, 0, 0, 0, 4, 16
"c:\Users\jingc\Documents\8番出口\src\game\cpuTypes.ts", "TypeScript", 0, 32, 0, 0, 0, 5, 37
"c:\Users\jingc\Documents\8番出口\src\game\deck.test.ts", "TypeScript", 0, 23, 0, 0, 0, 6, 29
"c:\Users\jingc\Documents\8番出口\src\game\deck.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 9
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 0, 18, 0, 0, 0, 1, 19
"c:\Users\jingc\Documents\8番出口\src\game\matchState.test.ts", "TypeScript", 0, 9, 0, 0, 0, 2, 11
"c:\Users\jingc\Documents\8番出口\src\game\matchState.ts", "TypeScript", 0, 58, 0, 0, 0, 3, 61
"c:\Users\jingc\Documents\8番出口\src\game\resultFixtures.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2
"c:\Users\jingc\Documents\8番出口\src\game\scoring.test.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2
"c:\Users\jingc\Documents\8番出口\src\game\standardCpu.ts", "TypeScript", 0, 66, 0, 0, 0, 16, 82
"c:\Users\jingc\Documents\8番出口\src\game\tacticalCpu.ts", "TypeScript", 0, 129, 0, 0, 0, 26, 155
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 0, 1142, 0, 0, 151, 1293
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 0, 20, 0, 0, 0, 1, 21
"c:\Users\jingc\Documents\8番出口\vite-dev.out.log", "Log", 0, 0, 0, 0, 0, 1, 1
"Total", "-", 0, 480, 1142, 1378, 0, 421, 3421
