"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\App.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 13
"c:\Users\jingc\Documents\8番出口\src\components\FinalResultScreen.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 6
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 76, 0, 0, 6, 82
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.test.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.tsx", "TypeScript JSX", 0, 73, 0, 0, 5, 78
"c:\Users\jingc\Documents\8番出口\src\game\cpu.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"c:\Users\jingc\Documents\8番出口\src\game\cpuModel.test.ts", "TypeScript", 65, 0, 0, 0, 11, 76
"c:\Users\jingc\Documents\8番出口\src\game\cpuModelRegistry.ts", "TypeScript", 2, 0, 0, 0, 0, 2
"c:\Users\jingc\Documents\8番出口\src\game\cpuTypes.ts", "TypeScript", 2, 0, 0, 0, 0, 2
"c:\Users\jingc\Documents\8番出口\src\game\deck.ts", "TypeScript", 18, 0, 0, 0, 1, 19
"c:\Users\jingc\Documents\8番出口\src\game\easyCpu.ts", "TypeScript", 81, 0, 0, 0, 18, 99
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 142, 0, 0, 0, 23, 165
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 188, 0, 0, 0, 21, 209
"c:\Users\jingc\Documents\8番出口\src\game\matchState.ts", "TypeScript", 9, 0, 0, 0, 0, 9
"c:\Users\jingc\Documents\8番出口\src\game\resultFixtures.ts", "TypeScript", 10, 0, 0, 0, 0, 10
"c:\Users\jingc\Documents\8番出口\src\game\scoring.test.ts", "TypeScript", 15, 0, 0, 0, 3, 18
"c:\Users\jingc\Documents\8番出口\src\game\scoring.ts", "TypeScript", 2, 0, 0, 0, 0, 2
"c:\Users\jingc\Documents\8番出口\src\game\tacticalCpu.ts", "TypeScript", 85, 0, 0, 0, 15, 100
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 0, 71, 0, 12, 83
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 34, 0, 0, 0, 3, 37
"Total", "-", 656, 169, 71, 0, 118, 1014
