"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\App.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 10
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 152, 0, 0, 0, 10, 162
"c:\Users\jingc\Documents\8番出口\src\components\PlayerArea.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.test.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 3
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.tsx", "TypeScript JSX", 53, 0, 0, 0, 4, 57
"c:\Users\jingc\Documents\8番出口\src\game\cpuModel.test.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\game\cpuModelRegistry.ts", "TypeScript", 0, 8, 0, 0, 2, 10
"c:\Users\jingc\Documents\8番出口\src\game\deck.test.ts", "TypeScript", 0, 4, 0, 0, 2, 6
"c:\Users\jingc\Documents\8番出口\src\game\deck.ts", "TypeScript", 0, 3, 0, 0, 0, 3
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 0, 244, 0, 0, 24, 268
"c:\Users\jingc\Documents\8番出口\src\game\matchState.ts", "TypeScript", 0, 6, 0, 0, 0, 6
"c:\Users\jingc\Documents\8番出口\src\game\resultFixtures.ts", "TypeScript", 0, 3, 0, 0, 0, 3
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 0, 94, 0, 14, 108
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 0, 31, 0, 0, 0, 31
"Total", "-", 219, 301, 94, 0, 56, 670
