"filename", "language", "TypeScript", "TypeScript JSX", "YAML", "PostCSS", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\.github\workflows\ci.yml", "YAML", 0, 0, 28, 0, 0, 7, 35
"c:\Users\jingc\Documents\8番出口\src\App.tsx", "TypeScript JSX", 0, 442, 0, 0, 0, 26, 468
"c:\Users\jingc\Documents\8番出口\src\components\FinalResultScreen.test.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 4, 24
"c:\Users\jingc\Documents\8番出口\src\components\HomeScreen.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 3
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.test.tsx", "TypeScript JSX", 0, 420, 0, 0, 0, 72, 492
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 434, 0, 0, 0, 11, 445
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreenQueen.test.tsx", "TypeScript JSX", 0, 54, 0, 0, 0, 5, 59
"c:\Users\jingc\Documents\8番出口\src\components\PlayerArea.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\components\ResultScreen.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 2, 19
"c:\Users\jingc\Documents\8番出口\src\game\cpuModel.test.ts", "TypeScript", 66, 0, 0, 0, 0, 16, 82
"c:\Users\jingc\Documents\8番出口\src\game\cpuTypes.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"c:\Users\jingc\Documents\8番出口\src\game\daifugoCpu.ts", "TypeScript", 123, 0, 0, 0, 0, 28, 151
"c:\Users\jingc\Documents\8番出口\src\game\deck.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 2
"c:\Users\jingc\Documents\8番出口\src\game\easyCpu.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 7
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 591, 0, 0, 0, 0, 68, 659
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 589, 0, 0, 0, 0, 33, 622
"c:\Users\jingc\Documents\8番出口\src\game\matchState.test.ts", "TypeScript", 28, 0, 0, 0, 0, 5, 33
"c:\Users\jingc\Documents\8番出口\src\game\matchState.ts", "TypeScript", 11, 0, 0, 0, 0, 1, 12
"c:\Users\jingc\Documents\8番出口\src\game\scoring.test.ts", "TypeScript", 9, 0, 0, 0, 0, 2, 11
"c:\Users\jingc\Documents\8番出口\src\game\scoring.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"c:\Users\jingc\Documents\8番出口\src\game\standardCpu.ts", "TypeScript", 14, 0, 0, 0, 0, 1, 15
"c:\Users\jingc\Documents\8番出口\src\game\tacticalCpu.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 11
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 0, 0, 894, 6, 145, 1045
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 63
"Total", "-", 1522, 1391, 28, 894, 6, 427, 4268
