"filename", "language", "JSON", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\package.json", "JSON", 1, 0, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\scripts\sim.mjs", "JavaScript", 0, 16, 0, 0, 3, 19
"c:\Users\jingc\Documents\8番出口\src\sim\cli.ts", "TypeScript", 0, 0, 82, 0, 8, 90
"c:\Users\jingc\Documents\8番出口\src\sim\headlessCpuDriver.ts", "TypeScript", 0, 0, 84, 0, 9, 93
"c:\Users\jingc\Documents\8番出口\src\sim\scenario.test.ts", "TypeScript", 0, 0, 24, 0, 3, 27
"c:\Users\jingc\Documents\8番出口\src\sim\scenario.ts", "TypeScript", 0, 0, 63, 0, 5, 68
"c:\Users\jingc\Documents\8番出口\src\sim\seededRandom.ts", "TypeScript", 0, 0, 28, 0, 3, 31
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.test.ts", "TypeScript", 0, 0, 46, 0, 5, 51
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.ts", "TypeScript", 0, 0, 171, 0, 17, 188
"c:\Users\jingc\Documents\8番出口\src\sim\types.ts", "TypeScript", 0, 0, 56, 0, 7, 63
"Total", "-", 1, 16, 554, 0, 60, 631
