"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\game\cpuModel.test.ts", "TypeScript", 51, 0, 11, 62
"c:\Users\jingc\Documents\8番出口\src\game\daifugoCpu.ts", "TypeScript", 50, 0, 5, 55
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 327, 0, 23, 350
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 75, 0, 6, 81
"c:\Users\jingc\Documents\8番出口\src\game\tacticalCpu.ts", "TypeScript", 155, 0, 13, 168
"c:\Users\jingc\Documents\8番出口\src\sim\cli.ts", "TypeScript", 31, 0, 0, 31
"c:\Users\jingc\Documents\8番出口\src\sim\scenario.test.ts", "TypeScript", 237, 0, 25, 262
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.test.ts", "TypeScript", 244, 0, 29, 273
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.ts", "TypeScript", 377, 0, 20, 397
"c:\Users\jingc\Documents\8番出口\src\sim\types.ts", "TypeScript", 56, 0, 1, 57
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 4, 0, 1, 5
"Total", "-", 1607, 0, 134, 1741
