"filename", "language", "TypeScript", "Log", "JSON", "PostCSS", "JSON with Comments", "TypeScript JSX", "JavaScript", "HTML", "YAML", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 7, 35
"c:\Users\jingc\Documents\8番出口\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\jingc\Documents\8番出口\package-lock.json", "JSON", 0, 0, 2180, 0, 0, 0, 0, 0, 0, 0, 1, 2181
"c:\Users\jingc\Documents\8番出口\package.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\jingc\Documents\8番出口\scripts\sim.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\jingc\Documents\8番出口\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 870, 0, 0, 0, 0, 63, 933
"c:\Users\jingc\Documents\8番出口\src\components\AvatarGallery.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"c:\Users\jingc\Documents\8番出口\src\components\AvatarPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 8, 52
"c:\Users\jingc\Documents\8番出口\src\components\DiscardPile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 14, 118
"c:\Users\jingc\Documents\8番出口\src\components\FinalResultScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 22, 130
"c:\Users\jingc\Documents\8番出口\src\components\FinalResultScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 273, 0, 0, 0, 0, 30, 303
"c:\Users\jingc\Documents\8番出口\src\components\HandView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 9, 92
