"filename", "language", "JSON", "TypeScript", "JavaScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\package-lock.json", "JSON", 767, 0, 0, 0, 0, 0, 767
"c:\Users\jingc\Documents\8番出口\package.json", "JSON", 6, 0, 0, 0, 0, 0, 6
"c:\Users\jingc\Documents\8番出口\scripts\online-smoke.mjs", "JavaScript", 0, 0, 109, 0, 0, 17, 126
"c:\Users\jingc\Documents\8番出口\server\index.ts", "TypeScript", 0, 247, 0, 0, 0, 24, 271
"c:\Users\jingc\Documents\8番出口\src\App.tsx", "TypeScript JSX", 0, 0, 0, 117, 0, 8, 125
"c:\Users\jingc\Documents\8番出口\src\components\OnlineLobbyScreen.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 8, 109
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 8, 43
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 31
"c:\Users\jingc\Documents\8番出口\src\game\daifugoCpu.ts", "TypeScript", 0, 16, 0, 0, 0, 1, 17
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 0, 377, 0, 0, 0, 40, 417
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 0, 160, 0, 0, 0, 10, 170
"c:\Users\jingc\Documents\8番出口\src\online\client.ts", "TypeScript", 0, 11, 0, 0, 0, 3, 14
"c:\Users\jingc\Documents\8番出口\src\online\playerView.ts", "TypeScript", 0, 90, 0, 0, 0, 8, 98
"c:\Users\jingc\Documents\8番出口\src\online\types.ts", "TypeScript", 0, 69, 0, 0, 0, 12, 81
"c:\Users\jingc\Documents\8番出口\src\sim\cli.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 38
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.test.ts", "TypeScript", 0, 143, 0, 0, 0, 22, 165
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.ts", "TypeScript", 0, 305, 0, 0, 0, 18, 323
"c:\Users\jingc\Documents\8番出口\src\sim\types.ts", "TypeScript", 0, 63, 0, 0, 0, 2, 65
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 13
"Total", "-", 773, 1532, 109, 284, 0, 181, 2879
