Date : 2026-06-06 04:02:42
Directory : c:\Users\jingc\Documents\8番出口
Total : 79 files,  25994 codes, 158 comments, 2778 blanks, all 28930 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         38 |     10,805 |          1 |      1,238 |     12,044 |
| TypeScript JSX     |         30 |      6,650 |        151 |        731 |      7,532 |
| PostCSS            |          1 |      5,354 |          6 |        771 |      6,131 |
| JSON               |          3 |      2,992 |          0 |          3 |      2,995 |
| JavaScript         |          2 |        125 |          0 |         20 |        145 |
| YAML               |          1 |         28 |          0 |          7 |         35 |
| JSON with Comments |          1 |         22 |          0 |          1 |         23 |
| HTML               |          1 |         12 |          0 |          1 |         13 |
| Log                |          2 |          6 |          0 |          6 |         12 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                          |         79 |     25,994 |        158 |      2,778 |     28,930 |
| . (Files)                                                                  |          8 |      3,041 |          0 |         13 |      3,054 |
| .github                                                                    |          1 |         28 |          0 |          7 |         35 |
| .github\workflows                                                          |          1 |         28 |          0 |          7 |         35 |
| scripts                                                                    |          2 |        125 |          0 |         20 |        145 |
| server                                                                     |          1 |        247 |          0 |         24 |        271 |
| src                                                                        |         67 |     22,553 |        158 |      2,714 |     25,425 |
| src (Files)                                                                |          5 |      6,654 |          7 |        863 |      7,524 |
| src\components                                                             |         28 |      5,654 |        151 |        658 |      6,463 |
| src\data                                                                   |          1 |         26 |          0 |          4 |         30 |
| src\game                                                                   |         21 |      7,226 |          0 |        910 |      8,136 |
| src\online                                                                 |          3 |        170 |          0 |         23 |        193 |
| src\sim                                                                    |          8 |      2,817 |          0 |        254 |      3,071 |
| src\test                                                                   |          1 |          6 |          0 |          2 |          8 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                   | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\jingc\Documents\8番出口\.github\workflows\ci.yml                     | YAML               |         28 |          0 |          7 |         35 |
| c:\Users\jingc\Documents\8番出口\index.html                                   | HTML               |         12 |          0 |          1 |         13 |
| c:\Users\jingc\Documents\8番出口\package-lock.json                            | JSON               |      2,947 |          0 |          1 |      2,948 |
| c:\Users\jingc\Documents\8番出口\package.json                                 | JSON               |         36 |          0 |          1 |         37 |
| c:\Users\jingc\Documents\8番出口\scripts\online-smoke.mjs                     | JavaScript         |        109 |          0 |         17 |        126 |
| c:\Users\jingc\Documents\8番出口\scripts\sim.mjs                              | JavaScript         |         16 |          0 |          3 |         19 |
