"filename", "language", "TypeScript", "JavaScript", "Markdown", "JSON", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\docs\online-compatibility.md", "Markdown", 0, 0, 121, 0, 0, 0, 27, 148
"c:\Users\jingc\Documents\8番出口\package-lock.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 65
"c:\Users\jingc\Documents\8番出口\package.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\jingc\Documents\8番出口\playwright.config.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 2, 36
"c:\Users\jingc\Documents\8番出口\scripts\online-smoke.mjs", "JavaScript", 0, 131, 0, 0, 0, 0, 13, 144
"c:\Users\jingc\Documents\8番出口\server\index.ts", "TypeScript", 201, 0, 0, 0, 0, 0, 9, 210
"c:\Users\jingc\Documents\8番出口\server\onlineScenarios.ts", "TypeScript", 274, 0, 0, 0, 0, 0, 22, 296
"c:\Users\jingc\Documents\8番出口\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\components\DiscardPile.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\jingc\Documents\8番出口\src\components\HandView.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\jingc\Documents\8番出口\src\components\HomeMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\components\MeldArea.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\components\OnlineLobbyScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 0, 1, 57
"c:\Users\jingc\Documents\8番出口\src\components\PlayerArea.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\jingc\Documents\8番出口\src\components\PlayingCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\jingc\Documents\8番出口\src\components\ResultScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\jingc\Documents\8番出口\src\online\playerView.ts", "TypeScript", 138, 0, 0, 0, 0, 0, 7, 145
"c:\Users\jingc\Documents\8番出口\src\online\types.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 1, 37
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\jingc\Documents\8番出口\tests\online-call-pass.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\jingc\Documents\8番出口\tests\online-call.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\jingc\Documents\8番出口\tests\online-double-ron.spec.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\jingc\Documents\8番出口\tests\online-helpers.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 10, 66
"c:\Users\jingc\Documents\8番出口\tests\online-q-after-draw-tsumo.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\jingc\Documents\8番出口\tests\online-reach-cannot-call.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 6, 23
"c:\Users\jingc\Documents\8番出口\tests\online-reach-declare.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\jingc\Documents\8番出口\tests\online-reach-discard-drawn-only.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\jingc\Documents\8番出口\tests\online-reach-discard-ron.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 6, 23
"c:\Users\jingc\Documents\8番出口\tests\online-reach-draw-tsumo.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\jingc\Documents\8番出口\tests\online-reach-invalid-discard.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\jingc\Documents\8番出口\tests\online-reach-tsumo.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\jingc\Documents\8番出口\tests\online-ron.spec.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\jingc\Documents\8番出口\tests\online-security-reaction.spec.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 12, 94
"c:\Users\jingc\Documents\8番出口\tests\online-socket-helpers.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 9, 62
"c:\Users\jingc\Documents\8番出口\tests\online-start.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\jingc\Documents\8番出口\tests\online-tsumo.spec.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 10, 47
"c:\Users\jingc\Documents\8番出口\tests\online-turn.spec.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 10, 65
"c:\Users\jingc\Documents\8番出口\vite.config.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 1223, 131, 121, 69, 86, 0, 209, 1839
