"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\docs\online-compatibility.md", "Markdown", 0, 0, 0, 3, 0, 0, 3
"c:\Users\jingc\Documents\8番出口\server\index.ts", "TypeScript", 166, 0, 0, 0, 0, 10, 176
"c:\Users\jingc\Documents\8番出口\server\onlineScenarios.ts", "TypeScript", 123, 0, 0, 0, 0, 5, 128
"c:\Users\jingc\Documents\8番出口\src\App.tsx", "TypeScript JSX", 0, 0, 67, 0, 0, 2, 69
"c:\Users\jingc\Documents\8番出口\src\components\OnlineLobbyScreen.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 0, 8
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 20
"c:\Users\jingc\Documents\8番出口\src\components\RoomListScreen.tsx", "TypeScript JSX", 0, 0, 78, 0, 0, 7, 85
"c:\Users\jingc\Documents\8番出口\src\components\RoomSelectScreen.test.tsx", "TypeScript JSX", 0, 0, 94, 0, 0, 6, 100
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.tsx", "TypeScript JSX", 0, 0, 6, 0, 0, 0, 6
"c:\Users\jingc\Documents\8番出口\src\online\types.ts", "TypeScript", 54, 0, 0, 0, 0, 3, 57
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 97, 0, 0, 0, 16, 113
"c:\Users\jingc\Documents\8番出口\tests\online-effect-10.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 6, 25
"c:\Users\jingc\Documents\8番出口\tests\online-effect-5.spec.ts", "TypeScript", 16, 0, 0, 0, 0, 5, 21
"c:\Users\jingc\Documents\8番出口\tests\online-effect-7.spec.ts", "TypeScript", 26, 0, 0, 0, 0, 7, 33
"c:\Users\jingc\Documents\8番出口\tests\online-effect-8.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\jingc\Documents\8番出口\tests\online-effect-9.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 5, 19
"c:\Users\jingc\Documents\8番出口\tests\online-effect-invalid.spec.ts", "TypeScript", 45, 0, 0, 0, 0, 8, 53
"c:\Users\jingc\Documents\8番出口\tests\online-effect-j.spec.ts", "TypeScript", 43, 0, 0, 0, 0, 13, 56
"c:\Users\jingc\Documents\8番出口\tests\online-effect-q.spec.ts", "TypeScript", 30, 0, 0, 0, 0, 10, 40
"c:\Users\jingc\Documents\8番出口\tests\online-human-stability.spec.ts", "TypeScript", 93, 0, 0, 0, 0, 6, 99
"c:\Users\jingc\Documents\8番出口\tests\online-next-round.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\jingc\Documents\8番出口\tests\online-public-rooms.spec.ts", "TypeScript", 238, 0, 0, 0, 0, 33, 271
"c:\Users\jingc\Documents\8番出口\tests\online-round-deckout.spec.ts", "TypeScript", 15, 0, 0, 0, 0, 5, 20
"c:\Users\jingc\Documents\8番出口\tests\online-round-double-ron.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 5, 23
"c:\Users\jingc\Documents\8番出口\tests\online-round-ron.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\jingc\Documents\8番出口\tests\online-round-security.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 8, 30
"c:\Users\jingc\Documents\8番出口\tests\online-round-tsumo.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\jingc\Documents\8番出口\tests\online-socket-helpers.ts", "TypeScript", 11, 0, 0, 0, 0, 1, 12
"Total", "-", 1007, 97, 273, 3, 0, 183, 1563
