"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\server\index.ts", "TypeScript", 22, 0, 0, 4, 26
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.test.tsx", "TypeScript JSX", 0, 100, 0, 15, 115
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 61, 0, 5, 66
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 12, 0, 0, 0, 12
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 11, 0, 0, 0, 11
"c:\Users\jingc\Documents\8番出口\src\online\playerView.test.ts", "TypeScript", 15, 0, 0, 4, 19
"c:\Users\jingc\Documents\8番出口\src\online\playerView.ts", "TypeScript", 14, 0, 0, 0, 14
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 8, 0, 0, 1, 9
"c:\Users\jingc\Documents\8番出口\tests\online-effect-10.spec.ts", "TypeScript", 12, 0, 0, 0, 12
"c:\Users\jingc\Documents\8番出口\tests\online-effect-8.spec.ts", "TypeScript", 12, 0, 0, 0, 12
"c:\Users\jingc\Documents\8番出口\tests\online-start.spec.ts", "TypeScript", 26, 0, 0, 6, 32
"Total", "-", 132, 161, 0, 35, 328
