"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\server\index.ts", "TypeScript", 276, 0, 0, 0, 15, 291
"c:\Users\jingc\Documents\8番出口\src\App.tsx", "TypeScript JSX", 0, 0, 169, 0, 1, 170
"c:\Users\jingc\Documents\8番出口\src\components\MoreGameScreen.test.tsx", "TypeScript JSX", 0, 0, 34, 0, 3, 37
"c:\Users\jingc\Documents\8番出口\src\components\MoreGameScreen.tsx", "TypeScript JSX", 0, 0, 11, 0, 1, 12
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.test.tsx", "TypeScript JSX", 0, 0, -2, 0, 0, -2
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 0, 35, 0, 2, 37
"c:\Users\jingc\Documents\8番出口\src\components\PlayerArea.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 18
"c:\Users\jingc\Documents\8番出口\src\components\RoomListScreen.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 20
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.test.tsx", "TypeScript JSX", 0, 0, 42, 0, 8, 50
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.tsx", "TypeScript JSX", 0, 0, 41, 0, 3, 44
"c:\Users\jingc\Documents\8番出口\src\online\types.ts", "TypeScript", 21, 0, 0, 0, 3, 24
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 36, 0, 0, 5, 41
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\tests\online-public-rooms.spec.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"Total", "-", 304, 36, 368, 0, 42, 750
