"filename", "language", "TypeScript", "JSON", "PostCSS", "TypeScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\index.html", "HTML", 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\jingc\Documents\8番出口\package-lock.json", "JSON", 0, 5189, 0, 0, 0, 0, 0, 5189
"c:\Users\jingc\Documents\8番出口\package.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\server\index.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 56
"c:\Users\jingc\Documents\8番出口\src\App.tsx", "TypeScript JSX", 0, 0, 0, 547, 0, 0, 3, 550
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 102, 0, 0, 8, 110
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 0, 2, 40
"c:\Users\jingc\Documents\8番出口\src\components\PlayerArea.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 5, 28
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\jingc\Documents\8番出口\src\main.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\jingc\Documents\8番出口\src\online\client.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 0, 1026, 0, 0, 88, 100, 1214
"c:\Users\jingc\Documents\8番出口\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\jingc\Documents\8番出口\tests\online-effect-5.spec.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\jingc\Documents\8番出口\tests\online-effect-9.spec.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\jingc\Documents\8番出口\tests\online-public-rooms.spec.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 6, 79
"c:\Users\jingc\Documents\8番出口\vite.config.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 39
"Total", "-", 209, 5190, 1026, 691, 12, 89, 131, 7348
